Sr. No.,State,Hon'ble Members of Parliaments,Constituency,Allocated AMOUNT ( ₹ ),dataset,row_number,quality_issues,Work,Work ID,IDA,Hon'ble Members of Parliament,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),Calamity Type,Calamity Name,Date of Consent,Consent Amount ( ₹ ),Work Category,Work Description,Image,Completion Date,Amount Disbursed ( ₹ ),Work category,Work description,Recommended date,Sanction Date,Sanction Amount ( ₹ ),Work Status,WORK,Elected/Nominated,RECOMMENDED AMOUNT   ( ₹ )
120,Punjab,,FIROZPUR,,Works Completed.csv,121,MISSING_OR_BLANK,WS/MP18153/2024-2025/137290-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Primary School Jamitpur Dheru(Capacity 500 Ltrs),,30-Dec-24,232650,,,,,,,,,
121,Punjab,,FIROZPUR,,Works Completed.csv,122,MISSING_OR_BLANK,WS/MP18153/2024-2025/137289-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Primary School Ferozeshah (Capacity 500 Ltrs),,30-Dec-24,232297,,,,,,,,,
122,Punjab,,FIROZPUR,,Works Completed.csv,123,MISSING_OR_BLANK,WS/MP18153/2024-2025/137288-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Adarsh Sen. Sec. School Bukan Khan wala (Capacity 500 Ltrs),,30-Dec-24,232532,,,,,,,,,
123,Punjab,,FIROZPUR,,Works Completed.csv,124,MISSING_OR_BLANK,WS/MP18153/2024-2025/137287-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Middal School Lohgarh (Capacity 500 Ltrs),,30-Dec-24,233002,,,,,,,,,
124,Punjab,,FIROZPUR,,Works Completed.csv,125,MISSING_OR_BLANK,WS/MP18153/2024-2025/137293-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System At Govt. Primary School Basti Ram Lal   (Maste Ke)(Capacity 500 Ltrs),,30-Dec-24,231827,,,,,,,,,
125,Punjab,,FIROZPUR,,Works Completed.csv,126,MISSING_OR_BLANK,WS/MP18153/2024-2025/135257-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Primary School Village Sher Khan Wala,,30-Dec-24,232180,,,,,,,,,
126,Punjab,,FIROZPUR,,Works Completed.csv,127,MISSING_OR_BLANK,WS/MP18153/2024-2025/135256-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Middle School Village Mahalam,,30-Dec-24,232415,,,,,,,,,
127,Punjab,,FIROZPUR,,Works Completed.csv,128,MISSING_OR_BLANK,WS/MP18153/2024-2025/135255-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Primary School Village Ale Wala,,30-Dec-24,232062,,,,,,,,,
128,Punjab,,FIROZPUR,,Works Completed.csv,129,MISSING_OR_BLANK,WS/MP18153/2024-2025/135259-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Primary School Village Kabbar Wachha,,30-Dec-24,232650,,,,,,,,,
129,Punjab,,FIROZPUR,,Works Completed.csv,130,MISSING_OR_BLANK,WS/MP18153/2024-2025/135258-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. School Village Sher Khan Wala,,30-Dec-24,232415,,,,,,,,,
130,Punjab,,FIROZPUR,,Works Completed.csv,131,MISSING_OR_BLANK,WS/MP18153/2024-2025/135262-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. School Ghall Khurd,,30-Dec-24,232697,,,,,,,,,
131,Punjab,,FIROZPUR,,Works Completed.csv,132,MISSING_OR_BLANK,WS/MP18153/2024-2025/135261-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. School Boys Mudki City,,30-Dec-24,232180,,,,,,,,,
132,Punjab,,FIROZPUR,,Works Completed.csv,133,MISSING_OR_BLANK,WS/MP18153/2024-2025/135260-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Middle School Village Kabbar wachha,,30-Dec-24,232415,,,,,,,,,
133,Punjab,,FIROZPUR,,Works Completed.csv,134,MISSING_OR_BLANK,WS/MP18153/2024-2025/135263-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Sen. Sec. Smart School Mana Singh Wala,,30-Dec-24,232415,,,,,,,,,
134,Punjab,,FIROZPUR,,Works Completed.csv,135,MISSING_OR_BLANK,WS/MP18153/2024-2025/135266-Installing community drinking water plants,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Installation of RO System Capacity 500 Ltrs. at Govt. Girls Sen. Sec. School Mudki City,,30-Dec-24,232415,,,,,,,,,
135,Punjab,,FIROZPUR,,Works Completed.csv,136,MISSING_OR_BLANK,WS/MP18153/2024-2025/135264-Purchase of mobile water tankers,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Purchase of Mobile Water tanker Capacity 3000 Ltrs.at Village Chak Bur Wala,,04-Apr-25,241056,,,,,,,,,
136,Punjab,,FIROZPUR,,Works Completed.csv,137,MISSING_OR_BLANK,WS/MP18153/2024-2025/135265-Purchase of mobile water tankers,,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),SHER SINGH GHUBAYA,,,,,,,,,Normal/Others,Purchase of Mobile Water tanker Capacity 3000 Ltrs.at Village Kutti,,04-Apr-25,240833,,,,,,,,,
137,Punjab,,FARIDKOT(SC),,Works Completed.csv,138,MISSING_OR_BLANK,WS/MP18152/2024-2025/133698-Construction of rooms and halls in school and colleges,,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),SARABJEET SINGH KHALSA,,,,,,,,,Normal/Others,Installation of Two Interactive panel for Smart Class in Govt High school Dhimanwali,,07-May-25,250000,,,,,,,,,
144,Madhya Pradesh,,KHARGONE(ST),,Works Completed.csv,145,MISSING_OR_BLANK,WS/MP641/2024-2025/143280-Setting up of farmers’ training and assistance centers,,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,,,,,,,,,Normal/Others,Setting up of farmers’ training and assistance center in village Jalud at near Madhwashram Gaushala,,20-Feb-25,2000000,,,,,,,,,
145,Madhya Pradesh,,KHARGONE(ST),,Works Completed.csv,146,MISSING_OR_BLANK,WS/MP641/2024-2025/143281-Setting up of farmers’ training and assistance centers,,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,,,,,,,,,Normal/Others,Setting up of farmers’ training and assistance center in village Jalud at near Gaushala,,16-May-25,1500000,,,,,,,,,
146,Chhattisgarh,,KORBA,,Works Completed.csv,147,MISSING_OR_BLANK,WS/MP429/2024-2025/140550-Construction of culverts and bridges,,Gaurela-Pendra-Marwahi(Collector GPM_IDA),Jyotsna Charandas Mahant,,,,,,,,,Normal/Others,"Puliya (Culvert) construction from Khamli khurd to Thhihayi Pahuch Marg in Gram Panchayat Pandripani, Vikas Khand - Gaurella",,19-Nov-24,900000,,,,,,,,,
157,Chhattisgarh,,KORBA,,Works Completed.csv,158,MISSING_OR_BLANK,WS/MP429/2024-2025/140551-Construction of culverts and bridges,,Gaurela-Pendra-Marwahi(Collector GPM_IDA),Jyotsna Charandas Mahant,,,,,,,,,Normal/Others,"Puliya (Culvert) construction on Dumarchhapra Pahuch Marg in Gram Panchayat Salheghori, Vikas Khand - Gaurella",,19-Nov-24,799538,,,,,,,,,
158,Telangana,,NIZAMABAD,,Works Completed.csv,159,MISSING_OR_BLANK,WS/MP761/2024-2025/144933-Providing drains and gutters for public drainage,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of CC drains with culverts from Narayana(H) to Chandrunaik (H) in Srisai laxmi nagar,,04-Oct-24,495000,,,,,,,,,
161,Telangana,,NIZAMABAD,,Works Completed.csv,162,MISSING_OR_BLANK,WS/MP761/2024-2025/144975-Construction of boundary walls of existing public and community buildings,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Boundary Wall to existing Community Hall near Srirama Mandir,,04-Oct-24,400000,,,,,,,,,
162,Telangana,,NIZAMABAD,,Works Completed.csv,163,MISSING_OR_BLANK,WS/MP761/2024-2025/144916-Providing drains and gutters for public drainage,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of CC Drains and Culverts from Chandru Naik (H) to Sai Kiranam in Sri Sailaxmi nagar,,04-Oct-24,495000,,,,,,,,,
163,Jharkhand,,KHUNTI(ST),,Works Completed.csv,164,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138467-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC path near Rameshwar's farm in Kutmakchar Panchayat of Kurdeg block.,,18-May-25,400000,,,,,,,,,
164,Jharkhand,,KHUNTI(ST),,Works Completed.csv,165,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138474-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road from Bano Road Bongram Pucca Road towards Pahantoli under Kolebira block.,,18-May-25,600000,,,,,,,,,
165,Jharkhand,,KHUNTI(ST),,Works Completed.csv,166,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138471-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road in Naneshera Tongritoli path in Keshalapur Panchayat of Pakar tanr block.,,18-May-25,600000,,,,,,,,,
166,Jharkhand,,KHUNTI(ST),,Works Completed.csv,167,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138469-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road from Jhimri to Dhori Patra path of Kutmakchar Panchayat of Kurdeg block.,,18-May-25,600000,,,,,,,,,
167,Jharkhand,,KHUNTI(ST),,Works Completed.csv,168,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138477-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC road in Gidiburu of Urate Panchayat under Bansjor Block.,,18-May-25,600000,,,,,,,,,
168,Jharkhand,,KHUNTI(ST),,Works Completed.csv,169,MISSING_OR_BLANK,"WS/MP18074/2024-2025/140257-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road from Sabir Khan's house to Mohd. Bin Asnari's house in Eidgah Mohalla under Ward number -19.,,18-May-25,900000,,,,,,,,,
169,Jharkhand,,KHUNTI(ST),,Works Completed.csv,170,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138478-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC road in Bendosera Kudatoli of Parka Revenue Village under Jaldega Block.,,18-May-25,600000,,,,,,,,,
170,Jharkhand,,KHUNTI(ST),,Works Completed.csv,171,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138476-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road from village Ginikera Bartoli Sadam Chaaki towards Jamgachh of Urte Panchayat under Bansjor Block.,,18-May-25,600000,,,,,,,,,
171,Jharkhand,,KHUNTI(ST),,Works Completed.csv,172,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138465-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC path from Praveen Baah's house towards James Dungdung's house in Banghatoli village of Konjoba Panchayat of Kersai block.,,18-May-25,600000,,,,,,,,,
172,Jharkhand,,KHUNTI(ST),,Works Completed.csv,173,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138479-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC road in Kusumtoli of Thethaitanger Panchayat under Thethaitanger Block.,,18-May-25,500000,,,,,,,,,
173,Jharkhand,,KHUNTI(ST),,Works Completed.csv,174,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138470-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road in Naneshera Devantoli in Kesalpur Panchayat of Pakar tanr block.,,18-May-25,600000,,,,,,,,,
174,Jharkhand,,KHUNTI(ST),,Works Completed.csv,175,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138473-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road from Barwadih road towards Sebartoli under Kolebira block.,,18-May-25,700000,,,,,,,,,
175,Jharkhand,,KHUNTI(ST),,Works Completed.csv,176,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138475-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road from Bolba main road via PHC towards Doctor Quarter under Bolba block.,,18-May-25,500000,,,,,,,,,
176,Jharkhand,,KHUNTI(ST),,Works Completed.csv,177,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138468-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road near Salaya tree located in Banghatoli in Kutmakchar Panchayat of Kurdeg block.,,18-May-25,400000,,,,,,,,,
177,Jharkhand,,KHUNTI(ST),,Works Completed.csv,178,MISSING_OR_BLANK,"WS/MP18074/2024-2025/140256-Construction of roads, link roads, pathways or any other road with or without drainage system",,SIMDEGA(Deputy Commissioner simdega_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road from Bhattitoli Azad Basti Khaja Garib Nawaz Mosque to Haki Masjid towards ex- Army’s house under Ward number -19.,,18-May-25,600000,,,,,,,,,
181,Telangana,,NIZAMABAD,,Works Completed.csv,182,MISSING_OR_BLANK,WS/MP761/2024-2025/144996-Construction of common work sheds/ common covered sitting area,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Artisan Shed near Yellamma Temple,,07-Oct-24,363244,,,,,,,,,
183,Jharkhand,,KHUNTI(ST),,Works Completed.csv,184,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138720-Construction of roads, link roads, pathways or any other road with or without drainage system",,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC road from Ravidas Mohalla towards Ganesh Pramanik's house in village Tamar of Panchayat Tamar East under Tamar block.,,20-Jul-25,535000,,,,,,,,,
184,Jharkhand,,KHUNTI(ST),,Works Completed.csv,185,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138718-Construction of roads, link roads, pathways or any other road with or without drainage system",,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC road from Govt High School towards Gambhir Mahato's house in village Dimbujarda of Panchayat Dimbujarda under Tamar Block.,,20-Jul-25,542000,,,,,,,,,
185,Jharkhand,,KHUNTI(ST),,Works Completed.csv,186,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138713-Construction of roads, link roads, pathways or any other road with or without drainage system",,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC Road from Gutuhatu main road towards the house of Pritnath Munda (Durga Temple) in village Gutuhatu of Panchayat Kanchi under Bundu block.,,20-Jul-25,832000,,,,,,,,,
186,Jharkhand,,KHUNTI(ST),,Works Completed.csv,187,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138714-Construction of roads, link roads, pathways or any other road with or without drainage system",,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC road from Amit Munda's house towards Vrindavan Mahato's house in village Datamda of Panchayat Sumandih under Bundu block.,,20-Jul-25,359000,,,,,,,,,
187,Jharkhand,,KHUNTI(ST),,Works Completed.csv,188,MISSING_OR_BLANK,WS/MP18074/2024-2025/138715-Providing drains and gutters for public drainage,,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of drain from Amit Mandal's house towards Umapado Mandal's house in village Gutuhatu of Panchayat Kanchi under Bundu block.,,20-Jul-25,783000,,,,,,,,,
188,Jharkhand,,KHUNTI(ST),,Works Completed.csv,189,MISSING_OR_BLANK,"WS/MP18074/2024-2025/138717-Construction of roads, link roads, pathways or any other road with or without drainage system",,RANCHI(DEPUTY COMMISSIONER RANCHI_IDA),KALI CHARAN MUNDA,,,,,,,,,Normal/Others,Construction of PCC road from Lal Talab towards Jagarnath Munda's house in village Kitadih of Panchayat Mankidih under Tamar block.,,20-Jul-25,649000,,,,,,,,,
189,Telangana,,NIZAMABAD,,Works Completed.csv,190,MISSING_OR_BLANK,WS/MP761/2024-2025/144940-Construction of boundary walls of existing public and community buildings,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Compound wall to existing community hall in Mudiraj wada,,07-Oct-24,299998,,,,,,,,,
191,Telangana,,NIZAMABAD,,Works Completed.csv,192,MISSING_OR_BLANK,"WS/MP761/2024-2025/144936-Construction of roads, link roads, pathways or any other road with or without drainage system",,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Metal road near Palda Cheruvu katta,,09-Oct-24,482222,,,,,,,,,
192,Telangana,,NIZAMABAD,,Works Completed.csv,193,MISSING_OR_BLANK,WS/MP761/2024-2025/144976-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Community Hall in Munnurukapu Wada,,08-Oct-24,400000,,,,,,,,,
193,Telangana,,NIZAMABAD,,Works Completed.csv,194,MISSING_OR_BLANK,WS/MP761/2024-2025/144990-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Community Hall in Munnurukapu Wada near Shivaji Chowrasta Godown Road,,08-Oct-24,399322,,,,,,,,,
194,Telangana,,NIZAMABAD,,Works Completed.csv,195,MISSING_OR_BLANK,WS/MP761/2024-2025/144991-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Community Hall near Ganesh Housing Society behind PF Office,,08-Oct-24,397374,,,,,,,,,
195,Telangana,,NIZAMABAD,,Works Completed.csv,196,MISSING_OR_BLANK,WS/MP761/2024-2025/145015-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,"Construction of Community Hall near Sri Bhashyam School, Ayodhya Nagar",,08-Oct-24,398575,,,,,,,,,
196,Telangana,,NIZAMABAD,,Works Completed.csv,197,MISSING_OR_BLANK,WS/MP761/2024-2025/144987-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,"Construction of Community Hall near Maheshwari Mandapam, Dubba",,08-Oct-24,397481,,,,,,,,,
197,Telangana,,NIZAMABAD,,Works Completed.csv,198,MISSING_OR_BLANK,WS/MP761/2024-2025/144978-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Community Hall near Yellammagutta Hanuman Temple,,08-Oct-24,300000,,,,,,,,,
198,Telangana,,NIZAMABAD,,Works Completed.csv,199,MISSING_OR_BLANK,WS/MP761/2024-2025/144935-Construction of boundary walls of existing public and community buildings,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Compound wall to existing community hall near Peddamma Temple,,08-Oct-24,495000,,,,,,,,,
199,Telangana,,NIZAMABAD,,Works Completed.csv,200,MISSING_OR_BLANK,WS/MP761/2024-2025/144944-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Mahila Bhavan,,08-Oct-24,400000,,,,,,,,,
200,Telangana,,NIZAMABAD,,Works Completed.csv,201,MISSING_OR_BLANK,WS/MP761/2024-2025/144988-Construction of common work sheds/ common covered sitting area,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Artisan Shed in Sugandam Tharpa Opp to Vishwashanthi High School,,08-Oct-24,399808,,,,,,,,,
201,Telangana,,NIZAMABAD,,Works Completed.csv,202,MISSING_OR_BLANK,WS/MP761/2024-2025/145003-Construction of boundary walls of existing public and community buildings,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,"Construction of Boundary Wall to PACS Godown, Hunsa",,08-Oct-24,492446,,,,,,,,,
202,Telangana,,NIZAMABAD,,Works Completed.csv,203,MISSING_OR_BLANK,WS/MP761/2024-2025/144957-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Community Hall near Guradireddy Colony,,08-Oct-24,369825,,,,,,,,,
203,Telangana,,NIZAMABAD,,Works Completed.csv,204,MISSING_OR_BLANK,WS/MP761/2024-2025/144956-Construction of community centers and community halls,,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri,,,,,,,,,Normal/Others,Construction of Community Hall,,08-Oct-24,486885,,,,,,,,,
